iter	Logloss
0	0.6883731503
1	0.6848481833
2	0.6806008654
3	0.6769679524
4	0.6727970493
5	0.6682330168
6	0.6642757814
7	0.6603716064
8	0.6568219008
9	0.6537487839
10	0.6498141349
11	0.6470315284
12	0.6441373541
13	0.6400339838
14	0.6365858843
15	0.6323513326
16	0.6291446849
17	0.6262783082
18	0.6239443458
19	0.6210750547
20	0.6175767807
21	0.6145917227
22	0.6117313382
23	0.6079604718
24	0.6054158746
25	0.6032114538
26	0.6008319094
27	0.5982316415
28	0.5950953022
29	0.5925918077
30	0.5900158023
31	0.5876251126
32	0.5851836323
33	0.5829106866
34	0.5801374094
35	0.5779883782
36	0.5750790781
37	0.5729086317
38	0.5706394086
39	0.5681408753
40	0.5659804185
41	0.5632502716
42	0.5610284082
43	0.5585492152
44	0.5565496456
45	0.5547235109
46	0.5526570769
47	0.5510923993
48	0.5488706208
49	0.5465125358
50	0.5442863822
51	0.5422954422
52	0.5395347767
53	0.5382901953
54	0.5362887038
55	0.534096671
56	0.5322846424
57	0.5304169885
58	0.5280672878
59	0.5263742738
60	0.5247187881
61	0.5231908506
62	0.5216962039
63	0.5200035309
64	0.5181399439
65	0.5162407444
66	0.5146194477
67	0.5127923476
68	0.5114779576
69	0.5102976447
70	0.5084007131
71	0.5069988142
72	0.5055217383
73	0.5037030312
74	0.5017669515
75	0.4997805477
76	0.4978878735
77	0.4961709407
78	0.4948900724
79	0.493762933
80	0.492334724
81	0.4911502797
82	0.4898279814
83	0.4887219418
84	0.4875518356
85	0.4861161345
86	0.4849186538
87	0.4839405289
88	0.4829621213
89	0.4815593675
90	0.480761109
91	0.4796939042
92	0.4784036523
93	0.4767022808
94	0.4756619259
95	0.474522358
96	0.4735939107
97	0.472539961
98	0.4710814535
99	0.4697617755
100	0.4686776211
101	0.4677663986
102	0.4666332033
103	0.4658157646
104	0.464893599
105	0.4639807222
106	0.4628354626
107	0.4619488102
108	0.4608452249
109	0.4597404801
110	0.4590361796
111	0.458156129
112	0.4569832471
113	0.456034156
114	0.4550365515
115	0.4542054894
116	0.4531163677
117	0.4522886982
118	0.4513681762
119	0.4506757761
120	0.4497058247
121	0.4484714047
122	0.4475578549
123	0.4469566018
124	0.4461457994
125	0.4452906542
126	0.4446178849
127	0.4435032944
128	0.4428194878
129	0.442440957
130	0.4414211874
131	0.4404892316
132	0.4395696348
133	0.4388899521
134	0.4378176503
135	0.4366050984
136	0.4357634269
137	0.4346737937
138	0.433863091
139	0.4330957613
140	0.432453783
141	0.4318992271
142	0.4312839692
143	0.4306377871
144	0.4297419988
145	0.4290891484
146	0.4283298716
147	0.4275747863
148	0.4267638742
149	0.4258304887
150	0.424958401
151	0.4242105687
152	0.423408231
153	0.4229676683
154	0.4226921994
155	0.4221723042
156	0.4214855882
157	0.4208720532
158	0.4199714979
159	0.419376566
160	0.4187176656
161	0.4182104133
162	0.4178947412
163	0.4170197884
164	0.4161873149
165	0.4155099302
166	0.4148038571
167	0.4140090457
168	0.4132526656
169	0.4127351376
170	0.4121953272
171	0.4114782935
172	0.4110877112
173	0.4106349919
174	0.409897309
175	0.4093510427
176	0.4086835874
177	0.4080263572
178	0.4074495164
179	0.4067574909
180	0.4062555816
181	0.4056056347
182	0.4044578403
183	0.4036064131
184	0.4029218697
185	0.4024483888
186	0.4016364799
187	0.400966183
188	0.4002485045
189	0.3997919438
190	0.3990365075
191	0.398332731
192	0.3976817936
193	0.3972548243
194	0.3966849979
195	0.3963880205
196	0.3959354124
197	0.3954174852
198	0.3949237611
199	0.3944219716
200	0.3940515744
201	0.3932430148
202	0.3927142415
203	0.3921854981
204	0.3917168797
205	0.3912415747
206	0.3905494349
207	0.3901466815
208	0.3895662803
209	0.3891357336
210	0.3886736846
211	0.3882389248
212	0.3879144997
213	0.3873657017
214	0.3868772349
215	0.3864083656
216	0.3858312773
217	0.3851705476
218	0.3846680194
219	0.3840903965
220	0.3836314887
221	0.3830417266
222	0.3825336481
223	0.3822123343
224	0.3817258661
225	0.3813924002
226	0.3807612296
227	0.3804334878
228	0.3798600668
229	0.3794765911
230	0.3791242731
231	0.3786047096
232	0.3779451208
233	0.3775457263
234	0.3771006229
235	0.3766787044
236	0.3762942819
237	0.3760415814
238	0.3756574388
239	0.3753558041
240	0.3746882179
241	0.3740997543
242	0.373662701
243	0.373449447
244	0.3731252285
245	0.3727985882
246	0.3725106207
247	0.372309579
248	0.3719345321
249	0.3715893214
250	0.3710791292
251	0.3707663732
252	0.3704896209
253	0.3701804687
254	0.369943867
255	0.3697065477
256	0.3693146919
257	0.3689623335
258	0.3687134882
259	0.3682585295
260	0.3678615685
261	0.367610088
262	0.3673674756
263	0.3669390521
264	0.3666458677
265	0.366102508
266	0.3656806707
267	0.3654430848
268	0.3650032921
269	0.3646563704
270	0.3640964838
271	0.3636238089
272	0.3632046956
273	0.3628194894
274	0.3625071637
275	0.3621594676
276	0.3618320456
277	0.3614855518
278	0.3612392913
279	0.3607242529
280	0.3603606126
281	0.3600601253
282	0.3595753691
283	0.3591241065
284	0.3587996553
285	0.3585496738
286	0.3581954185
287	0.3580097969
288	0.3578709909
289	0.3575962835
290	0.3574067461
291	0.3571040262
292	0.3569945641
293	0.3565430282
294	0.3563476642
295	0.3559834989
296	0.3556152544
297	0.3551248447
298	0.3548680446
299	0.3546862444
300	0.3543571523
301	0.3539138181
302	0.3536351338
303	0.3533063944
304	0.3529157316
305	0.3524850616
306	0.3519716211
307	0.3514963589
308	0.351134519
309	0.3509984376
310	0.3506902034
311	0.3503355608
312	0.3500195591
313	0.3497799824
314	0.3494835785
315	0.3491701231
316	0.3489683249
317	0.3485230115
318	0.3482382658
319	0.347863331
320	0.3475705111
321	0.3473570399
322	0.3470429054
323	0.3467626061
324	0.3464853512
325	0.346333761
326	0.3456926221
327	0.3453942721
328	0.3451012276
329	0.3449156744
330	0.3443753246
331	0.3441163518
332	0.3437246954
333	0.3433828238
334	0.3431976593
335	0.3429003754
336	0.3425998214
337	0.3422527594
338	0.3420216859
339	0.3416760985
340	0.3414523962
341	0.3412290308
342	0.3410820338
343	0.3407859331
344	0.3405200957
345	0.3403664925
346	0.3399172177
347	0.3396513569
348	0.3393815782
349	0.3388558083
350	0.3385868421
351	0.3384619059
352	0.3382976185
353	0.3379264733
354	0.3376733107
355	0.3374345664
356	0.3371260602
357	0.3370822232
358	0.3367906281
359	0.3364822184
360	0.3361030254
361	0.3356107125
362	0.3353011409
363	0.3349337309
364	0.3346481464
365	0.3342805314
366	0.3339183408
367	0.3335049844
368	0.3333122256
369	0.3330331957
370	0.3328645815
371	0.3326515004
372	0.3323737298
373	0.3322018269
374	0.3317810317
375	0.3316109955
376	0.3314277088
377	0.3312605651
378	0.330979927
379	0.3306273607
380	0.3302748923
381	0.3299469987
382	0.329606971
383	0.3292327699
384	0.3289875292
385	0.3286997215
386	0.3284390123
387	0.3281776829
388	0.3278963822
389	0.3276825016
390	0.3275374518
391	0.3273288545
392	0.3269340761
393	0.3267212751
394	0.3264057175
395	0.3262920046
396	0.325865695
397	0.3256807325
398	0.3254168019
399	0.3252207844
400	0.3246925785
401	0.3244806827
402	0.3242002527
403	0.3240651348
404	0.3237125076
405	0.3234332648
406	0.3231059999
407	0.322873698
408	0.3226684733
409	0.3222494004
410	0.3220040704
411	0.3215695322
412	0.3213654954
413	0.3210447646
414	0.3208156408
415	0.3206467168
416	0.320397173
417	0.3200949291
418	0.3198934561
419	0.3196310297
420	0.319466852
421	0.3193266373
422	0.319005297
423	0.3186393055
424	0.3182307523
425	0.3181321326
426	0.3175931281
427	0.3172885511
428	0.3169590575
429	0.3166075082
430	0.3163240536
431	0.316126378
432	0.3156823793
433	0.3155740712
434	0.3151984757
435	0.3150538838
436	0.3147952381
437	0.3145168726
438	0.3143188424
439	0.3140550495
440	0.3135655504
441	0.3133443414
442	0.3132008133
443	0.3129416615
444	0.3128477882
445	0.3126787033
446	0.3124400347
447	0.3123209051
448	0.3119607108
449	0.3118509185
450	0.3117869866
451	0.311697089
452	0.3114052411
453	0.311190112
454	0.3109671531
455	0.3106274228
456	0.3104175653
457	0.3102376541
458	0.3101172766
459	0.3099227591
460	0.3097253572
461	0.3095843003
462	0.3094187496
463	0.3092855486
464	0.3089647681
465	0.3087722583
466	0.308518553
467	0.3082968168
468	0.3079574068
469	0.307764272
470	0.307609469
471	0.3075213127
472	0.3073991993
473	0.3071821125
474	0.3070223654
475	0.3067805949
476	0.3065415088
477	0.3061886522
478	0.3059574077
479	0.3057503421
480	0.3056893997
481	0.3054573164
482	0.3052403483
483	0.3050275375
484	0.3049045861
485	0.3046797343
486	0.304448647
487	0.3042628403
488	0.3039933511
489	0.3036988598
490	0.3033999113
491	0.3032401636
492	0.3030416912
493	0.3025476345
494	0.3023384367
495	0.3023025265
496	0.3020981621
497	0.3020197241
498	0.3019392255
499	0.3017481145
500	0.3016021965
501	0.3013723425
502	0.3012439767
503	0.3008261986
504	0.3006341981
505	0.3003781111
506	0.3001908115
507	0.300039545
508	0.2999077719
509	0.2995685631
510	0.2993144266
511	0.299133941
512	0.2987398983
513	0.2985067436
514	0.2982624242
515	0.2980975787
516	0.2979189317
517	0.2977364943
518	0.2975667715
519	0.2973901674
520	0.2971814569
521	0.296889989
522	0.2966788752
523	0.2963562474
524	0.2960068897
525	0.2957233315
526	0.2955393659
527	0.2952613523
528	0.2950935532
529	0.2948779549
530	0.2946557175
531	0.2944832319
532	0.294375131
533	0.2941855277
534	0.2940040345
535	0.2937462128
536	0.2935655043
537	0.2934637107
538	0.2932979363
539	0.2930436032
540	0.292974706
541	0.2927261466
542	0.2925465749
543	0.2923878079
544	0.2922810608
545	0.2921724932
546	0.2920353972
547	0.2919618533
548	0.2918126374
549	0.2915858638
550	0.2913175976
551	0.2911022207
552	0.2910145324
553	0.2907698298
554	0.2906823898
555	0.290500641
556	0.2902858062
557	0.2900792841
558	0.2898476974
559	0.2895245438
560	0.2892869427
561	0.2891283808
562	0.289013799
563	0.2888113576
564	0.2886365208
565	0.2884747801
566	0.2883338437
567	0.2881159565
568	0.2879543617
569	0.2878331574
570	0.2876324104
571	0.2874820998
572	0.2871772723
573	0.2868699371
574	0.286611192
575	0.2864401953
576	0.2863172967
577	0.2861967684
578	0.2859416496
579	0.2858518951
580	0.2856358753
581	0.2853882082
582	0.2851036535
583	0.2848784078
584	0.2846450754
585	0.2845070792
586	0.2843772324
587	0.2842650115
588	0.2840589051
589	0.2839787954
590	0.2838501875
591	0.2837680551
592	0.2836334757
593	0.283381183
594	0.2831723009
595	0.2829021789
596	0.282762202
597	0.2824546539
598	0.2823377009
599	0.2821266688
600	0.2820493169
601	0.2817246719
602	0.2815944163
603	0.2814446585
604	0.2812307032
605	0.2809888557
606	0.2808052783
607	0.280731069
608	0.2806204399
609	0.2804642282
610	0.2801123625
611	0.2799824528
612	0.2797441517
613	0.2796401675
614	0.2793595869
615	0.2792662951
616	0.2790781878
617	0.2789650386
618	0.2788107616
619	0.2783135823
620	0.2781157312
621	0.2779705991
622	0.2778231023
623	0.2776261928
624	0.277547277
625	0.2772150293
626	0.2771149917
627	0.277015757
628	0.2768102636
629	0.276739111
630	0.2766740589
631	0.2763207987
632	0.2760726534
633	0.2760054635
634	0.2758329158
635	0.2757037255
636	0.2755065539
637	0.2753608205
638	0.2753004833
639	0.2751475087
640	0.2749911925
641	0.2745778958
642	0.2743138765
643	0.2741036926
644	0.273935011
645	0.2738158981
