iter	Passed	Remaining
0	2	2164
1	4	2189
2	5	1990
3	7	1856
4	9	1815
5	10	1778
6	12	1759
7	14	1754
8	15	1732
9	17	1732
10	19	1753
11	21	1737
12	22	1741
13	24	1738
14	26	1730
15	27	1721
16	29	1705
17	31	1693
18	32	1696
19	34	1712
20	36	1721
21	38	1708
22	40	1702
23	41	1696
24	43	1690
25	44	1684
26	46	1674
27	48	1685
28	50	1691
29	52	1696
30	54	1690
31	55	1689
32	57	1683
33	58	1674
34	60	1668
35	62	1669
36	64	1677
37	66	1692
38	68	1691
39	70	1686
40	72	1689
41	74	1693
42	76	1693
43	78	1698
44	80	1715
45	83	1728
46	85	1728
47	86	1720
48	88	1717
49	90	1714
50	92	1713
51	93	1708
52	95	1707
53	98	1728
54	100	1724
55	101	1717
56	103	1710
57	104	1700
58	106	1697
59	107	1690
60	109	1682
61	110	1676
62	112	1678
63	114	1678
64	116	1671
65	117	1665
66	119	1661
67	120	1654
68	122	1648
69	123	1641
70	124	1634
71	126	1629
72	128	1630
73	130	1629
74	131	1624
75	133	1618
76	134	1613
77	136	1607
78	137	1601
79	138	1597
80	140	1590
81	141	1588
82	143	1587
83	145	1588
84	147	1582
85	148	1578
86	150	1574
87	151	1569
88	152	1565
89	154	1559
90	155	1554
91	156	1548
92	158	1545
93	160	1546
94	162	1544
95	163	1540
96	165	1537
97	166	1533
98	167	1528
99	169	1523
100	170	1520
101	172	1516
102	173	1513
103	175	1512
104	177	1513
105	179	1509
106	180	1506
107	181	1502
108	183	1497
109	184	1493
110	186	1492
111	188	1490
112	189	1488
113	191	1490
114	193	1488
115	194	1484
116	196	1480
117	197	1476
118	198	1473
119	200	1470
120	202	1470
121	204	1468
122	205	1467
123	208	1469
124	209	1466
125	210	1462
126	212	1458
127	213	1455
128	214	1451
129	216	1447
130	217	1445
131	219	1441
132	220	1438
133	223	1441
134	224	1439
135	226	1436
136	227	1433
137	228	1430
138	230	1426
139	231	1423
140	233	1421
141	234	1418
142	236	1417
143	238	1416
144	240	1415
145	241	1412
146	242	1409
147	244	1406
148	245	1404
149	247	1401
150	248	1397
151	250	1395
152	251	1393
153	253	1392
154	255	1393
155	257	1390
156	258	1387
157	259	1384
158	261	1381
159	262	1378
160	264	1375
161	265	1373
162	266	1370
163	268	1366
164	270	1366
165	271	1365
166	273	1362
167	274	1359
168	276	1357
169	277	1354
170	278	1352
171	280	1349
172	281	1347
173	283	1344
174	284	1343
175	287	1344
176	288	1341
177	289	1338
178	291	1335
179	292	1333
180	294	1331
181	295	1329
182	297	1326
183	298	1324
184	300	1322
185	302	1323
186	304	1321
187	305	1318
188	306	1316
189	308	1313
190	309	1310
191	311	1309
192	312	1306
193	313	1303
194	315	1301
195	317	1301
196	319	1300
197	320	1298
198	321	1295
199	323	1293
200	325	1292
201	327	1292
202	329	1291
203	330	1289
204	332	1288
205	334	1288
206	335	1286
207	337	1284
208	338	1281
209	340	1279
210	341	1276
211	343	1275
212	344	1273
213	346	1271
214	347	1270
215	349	1269
216	351	1267
217	352	1265
218	354	1263
219	355	1261
220	357	1259
221	358	1256
222	360	1254
223	361	1252
224	363	1250
225	365	1250
226	366	1249
227	368	1247
228	369	1245
229	371	1242
230	372	1240
231	374	1238
232	375	1236
233	377	1235
234	378	1233
235	380	1233
236	382	1231
237	384	1230
238	385	1228
239	387	1226
240	388	1224
241	390	1222
242	391	1220
